alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,10.0,0.1,0.01,0.001,0.978376,0.995596,0.341152
1.0,10.0,0.1,0.01,0.0001,0.979494,0.995608,0.340922
1.0,10.0,0.1,0.001,0.1,0.981177,0.99615,0.344068
1.0,10.0,0.1,0.001,0.01,0.976264,0.996385,0.347096
1.0,10.0,0.1,0.001,0.001,0.976582,0.996045,0.341135
1.0,10.0,0.1,0.001,0.0001,0.97767,0.995993,0.340512
1.0,10.0,0.1,0.0001,0.1,0.976749,0.996368,0.338566
1.0,10.0,0.1,0.0001,0.01,0.975789,0.996094,0.329852
1.0,10.0,0.1,0.0001,0.001,0.971229,0.995353,0.322753
1.0,10.0,0.1,0.0001,0.0001,0.970055,0.995376,0.319117
1.0,10.0,1.0,0.01,0.1,0.975796,0.995644,0.344214
1.0,10.0,1.0,0.01,0.01,0.976866,0.995638,0.34327
1.0,10.0,1.0,0.01,0.001,0.972922,0.995709,0.337781
1.0,10.0,1.0,0.01,0.0001,0.97517,0.995709,0.340593
1.0,10.0,1.0,0.001,0.1,0.975184,0.99586,0.338789
1.0,10.0,1.0,0.001,0.01,0.974117,0.996343,0.342085
1.0,10.0,1.0,0.001,0.001,0.975609,0.996187,0.345943
1.0,10.0,1.0,0.001,0.0001,0.97482,0.996294,0.344793
1.0,10.0,1.0,0.0001,0.1,0.977503,0.995931,0.330071
1.0,10.0,1.0,0.0001,0.01,0.973012,0.99543,0.329864
1.0,10.0,1.0,0.0001,0.001,0.969204,0.995813,0.325591
1.0,10.0,1.0,0.0001,0.0001,0.912375,0.991933,0.274397
1.0,10.0,10.0,0.01,0.1,0.979072,0.996356,0.340754
1.0,10.0,10.0,0.01,0.01,0.97661,0.995879,0.326012
1.0,10.0,10.0,0.01,0.001,0.966901,0.995654,0.320479
1.0,10.0,10.0,0.01,0.0001,0.97617,0.995454,0.321293
1.0,10.0,10.0,0.001,0.1,0.978321,0.996328,0.333816
1.0,10.0,10.0,0.001,0.01,0.975052,0.995834,0.328375
1.0,10.0,10.0,0.001,0.001,0.976274,0.995776,0.330143
1.0,10.0,10.0,0.001,0.0001,0.974044,0.996069,0.329773
1.0,10.0,10.0,0.0001,0.1,0.920187,0.990957,0.266935
1.0,10.0,10.0,0.0001,0.01,0.837755,0.989629,0.230961
1.0,10.0,10.0,0.0001,0.001,0.649082,0.977953,0.111292
1.0,10.0,10.0,0.0001,0.0001,0.927725,0.992558,0.280252
